task_id,created_at,queued_at,started_at,finished_at,processed_by,scheduling_decision,mi,data_mb,latency_s
t4,0.167,0.247,,0.447,cloud,offloaded,1000.0,0.05,
t5,0.167,0.247,,0.647,cloud,offloaded,1000.0,0.05,
t3,0.167,0.247,,0.847,cloud,offloaded,1000.0,0.05,
t4,0.167,0.247,,1.047,cloud,offloaded,1000.0,0.05,
t5,0.167,0.247,,1.2469999999999999,cloud,offloaded,1000.0,0.05,
t1,0.167,0.247,,1.4469999999999998,cloud,offloaded,1000.0,0.05,
t2,0.167,0.247,,1.6469999999999998,cloud,offloaded,1000.0,0.05,
t0,0.0,0.0,0.0,1.6666666666666667,edge-4,enqueued,1000.0,0.05,1.6666666666666667
t0,0.0,0.0,0.0,1.6666666666666667,edge-0,enqueued,1000.0,0.05,1.6666666666666667
t3,0.167,0.247,,1.8469999999999998,cloud,offloaded,1000.0,0.05,
t4,0.167,0.247,,2.0469999999999997,cloud,offloaded,1000.0,0.05,
t5,0.167,0.247,,2.247,cloud,offloaded,1000.0,0.05,
t6,0.33399999999999996,0.414,,2.447,cloud,offloaded,1000.0,0.05,
t7,0.33399999999999996,0.414,,2.6470000000000002,cloud,offloaded,1000.0,0.05,
t8,0.33399999999999996,0.414,,2.8470000000000004,cloud,offloaded,1000.0,0.05,
t6,0.33399999999999996,0.414,,3.0470000000000006,cloud,offloaded,1000.0,0.05,
t7,0.33399999999999996,0.414,,3.2470000000000008,cloud,offloaded,1000.0,0.05,
t1,0.167,0.167,1.6666666666666667,3.3333333333333335,edge-4,enqueued,1000.0,0.05,3.1663333333333337
t0,0.0,0.0,1.6666666666666667,3.3333333333333335,edge-0,enqueued,1000.0,0.05,3.3333333333333335
t8,0.33399999999999996,0.414,,3.447000000000001,cloud,offloaded,1000.0,0.05,
t6,0.33399999999999996,0.414,,3.647000000000001,cloud,offloaded,1000.0,0.05,
t7,0.33399999999999996,0.414,,3.8470000000000013,cloud,offloaded,1000.0,0.05,
t8,0.33399999999999996,0.414,,4.0470000000000015,cloud,offloaded,1000.0,0.05,
t9,0.5,0.58,,4.247000000000002,cloud,offloaded,1000.0,0.05,
t10,0.5,0.58,,4.447000000000002,cloud,offloaded,1000.0,0.05,
t9,0.5,0.58,,4.647000000000002,cloud,offloaded,1000.0,0.05,
t10,0.5,0.58,,4.847000000000002,cloud,offloaded,1000.0,0.05,
t2,0.167,0.167,3.3333333333333335,5.0,edge-4,enqueued,1000.0,0.05,4.833
t1,0.167,0.167,3.3333333333333335,5.0,edge-0,enqueued,1000.0,0.05,4.833
t9,0.5,0.58,,5.047000000000002,cloud,offloaded,1000.0,0.05,
t10,0.5,0.58,,5.2470000000000026,cloud,offloaded,1000.0,0.05,
t11,0.6669999999999999,0.7469999999999999,,5.447000000000003,cloud,offloaded,1000.0,0.05,
t11,0.6669999999999999,0.7469999999999999,,5.647000000000003,cloud,offloaded,1000.0,0.05,
t11,0.6669999999999999,0.7469999999999999,,5.847000000000003,cloud,offloaded,1000.0,0.05,
t12,0.8339999999999999,0.9139999999999998,,6.047000000000003,cloud,offloaded,1000.0,0.05,
t13,0.8339999999999999,0.9139999999999998,,6.247000000000003,cloud,offloaded,1000.0,0.05,
t12,0.8339999999999999,0.9139999999999998,,6.447000000000004,cloud,offloaded,1000.0,0.05,
t13,0.8339999999999999,0.9139999999999998,,6.647000000000004,cloud,offloaded,1000.0,0.05,
t3,0.167,0.167,5.0,6.666666666666667,edge-4,enqueued,1000.0,0.05,6.499666666666667
t2,0.167,0.167,5.0,6.666666666666667,edge-0,enqueued,1000.0,0.05,6.499666666666667
t12,0.8339999999999999,0.9139999999999998,,6.847000000000004,cloud,offloaded,1000.0,0.05,
t13,0.8339999999999999,0.9139999999999998,,7.047000000000004,cloud,offloaded,1000.0,0.05,
t14,1.001,1.081,,7.247000000000004,cloud,offloaded,1000.0,0.05,
t15,1.001,1.081,,7.4470000000000045,cloud,offloaded,1000.0,0.05,
t14,1.001,1.081,,7.647000000000005,cloud,offloaded,1000.0,0.05,
t15,1.001,1.081,,7.847000000000005,cloud,offloaded,1000.0,0.05,
t14,1.001,1.081,,8.047000000000004,cloud,offloaded,1000.0,0.05,
t15,1.001,1.081,,8.247000000000003,cloud,offloaded,1000.0,0.05,
t16,4.171,4.171,6.666666666666667,8.333333333333334,edge-4,enqueued,1000.0,0.05,4.162333333333334
t16,4.171,4.171,6.666666666666667,8.333333333333334,edge-0,enqueued,1000.0,0.05,4.162333333333334
