task_id,created_at,queued_at,started_at,finished_at,processed_by,scheduling_decision,mi,data_mb,latency_s
t0,0.0,0.0,0.0,0.5,edge-1,enqueued,1000.0,0.05,0.5
t1,0.167,0.167,0.5,1.0,edge-1,enqueued,1000.0,0.05,0.833
t2,0.167,0.167,1.0,1.5,edge-1,enqueued,1000.0,0.05,1.333
t3,0.167,0.167,1.5,2.0,edge-1,enqueued,1000.0,0.05,1.833
t4,0.167,0.167,2.0,2.5,edge-1,enqueued,1000.0,0.05,2.333
t5,0.167,0.167,2.5,3.0,edge-1,enqueued,1000.0,0.05,2.833
t6,0.33399999999999996,0.33399999999999996,3.0,3.5,edge-1,enqueued,1000.0,0.05,3.166
t7,0.33399999999999996,0.33399999999999996,3.5,4.0,edge-1,enqueued,1000.0,0.05,3.666
t8,0.33399999999999996,0.33399999999999996,4.0,4.5,edge-1,enqueued,1000.0,0.05,4.166
t9,0.5,0.5,4.5,5.0,edge-1,enqueued,1000.0,0.05,4.5
t10,0.5,0.5,5.0,5.5,edge-1,enqueued,1000.0,0.05,5.0
t11,0.6669999999999999,0.6669999999999999,5.5,6.0,edge-1,enqueued,1000.0,0.05,5.333
t12,0.8339999999999999,0.8339999999999999,6.0,6.5,edge-1,enqueued,1000.0,0.05,5.666
t13,0.8339999999999999,0.8339999999999999,6.5,7.0,edge-1,enqueued,1000.0,0.05,6.166
t14,1.001,1.001,7.0,7.5,edge-1,enqueued,1000.0,0.05,6.4990000000000006
t15,1.001,1.001,7.5,8.0,edge-1,enqueued,1000.0,0.05,6.9990000000000006
t36,7.840999999999999,8.040999999999999,,8.240999999999998,cloud,offloaded,1000.0,0.05,
t37,7.840999999999999,8.040999999999999,,8.440999999999997,cloud,offloaded,1000.0,0.05,
t16,4.171,4.171,8.0,8.5,edge-1,enqueued,1000.0,0.05,4.329
t38,7.840999999999999,8.040999999999999,,8.640999999999996,cloud,offloaded,1000.0,0.05,
t40,8.008000000000001,8.208,,8.840999999999996,cloud,offloaded,1000.0,0.05,
t17,4.338,4.338,8.5,9.0,edge-1,enqueued,1000.0,0.05,4.662
t41,8.175,8.375,,9.040999999999995,cloud,offloaded,1000.0,0.05,
t42,8.175,8.375,,9.240999999999994,cloud,offloaded,1000.0,0.05,
t43,8.341,8.540999999999999,,9.440999999999994,cloud,offloaded,1000.0,0.05,
t18,4.338,4.338,9.0,9.5,edge-1,enqueued,1000.0,0.05,5.162
t44,8.341,8.540999999999999,,9.640999999999993,cloud,offloaded,1000.0,0.05,
t46,8.508000000000001,8.708,,9.840999999999992,cloud,offloaded,1000.0,0.05,
t19,4.5040000000000004,4.5040000000000004,9.5,10.0,edge-1,enqueued,1000.0,0.05,5.4959999999999996
t47,8.675,8.875,,10.040999999999991,cloud,offloaded,1000.0,0.05,
t48,8.675,8.875,,10.24099999999999,cloud,offloaded,1000.0,0.05,
t49,8.842,9.042,,10.44099999999999,cloud,offloaded,1000.0,0.05,
