timestamp_s,node_id,task_id,frame_idx,work_mi,size_bytes,priority,deadline_ms
0.167,edge-2,t0,5,165888.0,16588800,high,2000
0.334,edge-2,t1,10,969.0,96900,low,5000
0.334,edge-2,t2,10,1014.0,101400,low,5000
0.334,edge-2,t3,10,2528.0,252800,high,2000
0.334,edge-2,t4,10,709.5,70950,low,5000
0.334,edge-2,t5,10,2912.0,291200,high,2000
0.501,edge-2,t6,15,1258.0,125800,low,5000
0.501,edge-2,t7,15,1327.5,132750,low,5000
0.501,edge-2,t8,15,2033.0,203300,low,5000
0.667,edge-2,t9,20,1592.5,159250,low,5000
0.667,edge-2,t10,20,2223.0,222300,low,5000
0.834,edge-2,t11,25,2773.5,277350,high,2000
1.001,edge-2,t12,30,1372.0,137200,low,5000
1.001,edge-2,t13,30,1116.0,111600,low,5000
1.168,edge-2,t14,35,1290.0,129000,low,5000
1.168,edge-2,t15,35,792.0,79200,low,5000
4.338,edge-2,t16,130,1034.0,103400,low,5000
4.505,edge-2,t17,135,875.0,87500,low,5000
4.505,edge-2,t18,135,1053.5,105350,low,5000
4.671,edge-2,t19,140,1272.0,127200,low,5000
4.838,edge-2,t20,145,2135.0,213500,low,5000
5.005,edge-2,t21,150,1273.0,127300,low,5000
5.172,edge-2,t22,155,936.0,93600,low,5000
7.007,edge-2,t23,210,874.0,87400,low,5000
7.007,edge-2,t24,210,1145.5,114550,low,5000
7.174,edge-2,t25,215,1160.0,116000,low,5000
7.341,edge-2,t26,220,1189.5,118950,low,5000
7.341,edge-2,t27,220,1087.5,108750,low,5000
7.508,edge-2,t28,225,1435.0,143500,low,5000
7.508,edge-2,t29,225,1072.5,107250,low,5000
7.674,edge-2,t30,230,1150.5,115050,low,5000
7.674,edge-2,t31,230,1353.0,135300,low,5000
7.674,edge-2,t32,230,1183.0,118300,low,5000
7.841,edge-2,t33,235,1414.5,141450,low,5000
7.841,edge-2,t34,235,1860.0,186000,low,5000
7.841,edge-2,t35,235,1395.0,139500,low,5000
8.008,edge-2,t36,240,1207.5,120750,low,5000
8.008,edge-2,t37,240,2028.0,202800,low,5000
8.008,edge-2,t38,240,1336.0,133600,low,5000
8.175,edge-2,t39,245,2227.5,222750,low,5000
8.175,edge-2,t40,245,1740.0,174000,low,5000
8.342,edge-2,t41,250,3165.0,316500,high,2000
8.342,edge-2,t42,250,2330.0,233000,low,5000
8.508,edge-2,t43,255,3536.0,353600,high,2000
8.508,edge-2,t44,255,3421.0,342100,high,2000
8.675,edge-2,t45,260,3936.0,393600,high,2000
8.675,edge-2,t46,260,2859.5,285950,high,2000
8.842,edge-2,t47,265,3933.0,393300,high,2000
8.842,edge-2,t48,265,4063.5,406350,high,2000
9.009,edge-2,t49,270,5589.0,558900,high,2000
9.009,edge-2,t50,270,3364.0,336400,high,2000
9.176,edge-2,t51,275,13261.0,1326100,high,2000
9.343,edge-2,t52,280,13216.5,1321650,high,2000
9.51,edge-2,t53,285,1276.5,127650,low,5000
9.51,edge-2,t54,285,3996.0,399600,high,2000
9.676,edge-2,t55,290,850.0,85000,low,5000
9.676,edge-2,t56,290,2050.0,205000,low,5000
9.843,edge-2,t57,295,840.0,84000,low,5000
9.843,edge-2,t58,295,1900.0,190000,low,5000
10.01,edge-2,t59,300,1460.5,146050,low,5000
10.01,edge-2,t60,300,1593.0,159300,low,5000
10.177,edge-2,t61,305,1186.5,118650,low,5000
10.677,edge-2,t62,320,1198.5,119850,low,5000
11.678,edge-2,t63,350,988.0,98800,low,5000
11.845,edge-2,t64,355,1820.0,182000,low,5000
12.012,edge-2,t65,360,1749.0,174900,low,5000
12.179,edge-2,t66,365,2146.0,214600,low,5000
12.346,edge-2,t67,370,1982.5,198250,low,5000
12.513,edge-2,t68,375,1725.0,172500,low,5000
12.513,edge-2,t69,375,2482.0,248200,low,5000
12.679,edge-2,t70,380,2733.5,273350,high,2000
12.846,edge-2,t71,385,3480.0,348000,high,2000
13.013,edge-2,t72,390,1881.5,188150,low,5000
13.847,edge-2,t73,415,741.0,74100,low,5000
13.847,edge-2,t74,415,1680.0,168000,low,5000
14.348,edge-2,t75,430,1281.0,128100,low,5000
14.514,edge-2,t76,435,1677.5,167750,low,5000
14.681,edge-2,t77,440,1795.5,179550,low,5000
14.848,edge-2,t78,445,2743.5,274350,high,2000
15.015,edge-2,t79,450,1260.0,126000,low,5000
15.015,edge-2,t80,450,2945.0,294500,high,2000
15.182,edge-2,t81,455,1943.0,194300,low,5000
15.349,edge-2,t82,460,1700.0,170000,low,5000
15.515,edge-2,t83,465,1848.0,184800,low,5000
15.515,edge-2,t84,465,819.0,81900,low,5000
15.515,edge-2,t85,465,875.0,87500,low,5000
15.515,edge-2,t86,465,1815.0,181500,low,5000
15.682,edge-2,t87,470,784.0,78400,low,5000
15.682,edge-2,t88,470,1120.0,112000,low,5000
15.682,edge-2,t89,470,1885.0,188500,low,5000
15.849,edge-2,t90,475,1768.0,176800,low,5000
16.016,edge-2,t91,480,2010.0,201000,low,5000
16.183,edge-2,t92,485,2990.0,299000,high,2000
16.35,edge-2,t93,490,1035.0,103500,low,5000
16.35,edge-2,t94,490,2145.0,214500,low,5000
16.517,edge-2,t95,495,936.0,93600,low,5000
16.517,edge-2,t96,495,1568.0,156800,low,5000
16.517,edge-2,t97,495,1743.0,174300,low,5000
16.683,edge-2,t98,500,735.0,73500,low,5000
16.683,edge-2,t99,500,954.0,95400,low,5000
16.683,edge-2,t100,500,1767.0,176700,low,5000
16.683,edge-2,t101,500,3240.0,324000,high,2000
16.85,edge-2,t102,505,1539.0,153900,low,5000
16.85,edge-2,t103,505,3976.0,397600,high,2000
17.017,edge-2,t104,510,1842.5,184250,low,5000
17.017,edge-2,t105,510,3948.0,394800,high,2000
17.184,edge-2,t106,515,1987.5,198750,low,5000
17.184,edge-2,t107,515,4074.5,407450,high,2000
17.351,edge-2,t108,520,2067.0,206700,low,5000
17.351,edge-2,t109,520,4215.0,421500,high,2000
17.518,edge-2,t110,525,1482.0,148200,low,5000
17.518,edge-2,t111,525,2715.0,271500,high,2000
17.684,edge-2,t112,530,2595.5,259550,high,2000
17.851,edge-2,t113,535,1537.0,153700,low,5000
17.851,edge-2,t114,535,3346.0,334600,high,2000
18.018,edge-2,t115,540,1677.5,167750,low,5000
18.018,edge-2,t116,540,3199.5,319950,high,2000
18.185,edge-2,t117,545,943.5,94350,low,5000
18.185,edge-2,t118,545,1092.0,109200,low,5000
18.185,edge-2,t119,545,840.0,84000,low,5000
